LocusTag,Function
JCVISYN3A_0526,50S ribosomal protein L32
JCVISYN3A_0448,Uncharacterized rRNA methyltransferase
JCVISYN3A_0415,Chromosome segregation protein
JCVISYN3A_0116,Uncharacterized protein
JCVISYN3A_0410,Uncharacterized helicase
JCVISYN3A_0645,DNA-directed RNA polymerase subunit alpha
JCVISYN3A_0653,50S ribosomal protein L15
JCVISYN3A_0592,Uncharacterized protein
JCVISYN3A_0638,50S ribosomal protein L13
JCVISYN3A_0481,Uncharacterized lipoprotein
JCVISYN3A_0346,Uncharacterized protein
JCVISYN3A_0080,Uncharacterized protein
JCVISYN3A_0640,tRNA pseudouridine(38-40) synthase
JCVISYN3A_0128,DNA-directed RNA polymerase subunit delta
JCVISYN3A_0094,Uncharacterized protein
JCVISYN3A_0433,Uncharacterized protein
JCVISYN3A_0730,Uncharacterized protein
JCVISYN3A_0541,Molecular chaperone
JCVISYN3A_0361,"23S rRNA
"
JCVISYN3A_0665,30S ribosomal protein S3
JCVISYN3A_0164,Uncharacterized protein
JCVISYN3A_0387,tRNA 2-thiouridine(34) synthase
JCVISYN3A_0281,Uncharacterized protein
JCVISYN3A_0549,Non-canonical purine NTP pyrophosphatase
JCVISYN3A_0667,30S ribosomal protein S19
JCVISYN3A_0439,Uncharacterized lipoprotein
JCVISYN3A_0827,Uncharacterized protein
JCVISYN3A_0146,Uncharacterized protein
JCVISYN3A_0148,30S ribosomal protein S12
JCVISYN3A_0647,30S ribosomal protein S13
JCVISYN3A_0372,Flippase B
JCVISYN3A_0238,30S ribosomal protein S4
JCVISYN3A_0806,50S ribosomal protein L7/L12
JCVISYN3A_0797,Uncharacterized protein
JCVISYN3A_0874,16S rRNA (guanine(527)-N(7))-methyltransferase
JCVISYN3A_0542,Molecular chaperone
JCVISYN3A_0610,DNA-formamidopyrimidine glycosylase
JCVISYN3A_0362,30S ribosomal protein S16
JCVISYN3A_0777,Uncharacterized protein
JCVISYN3A_0499,50S ribosomal protein L27
JCVISYN3A_0453,DNA topoisomerase IV subunit A
JCVISYN3A_0646,30S ribosomal protein S11
JCVISYN3A_0543,Nucleotide exchange factor
JCVISYN3A_0931,Adenylyl-sulfate kinase
JCVISYN3A_0198,50S ribosomal protein L20
JCVISYN3A_0906,Uncharacterized protein
JCVISYN3A_0670,50S ribosomal protein L4
JCVISYN3A_0648,50S ribosomal protein L36
JCVISYN3A_0270,"tRNA
"
JCVISYN3A_0430,Uncharacterized DNA-binding protein
JCVISYN3A_0418,Ribonuclease III
JCVISYN3A_0820,Diacylglyceryl transferase
JCVISYN3A_0623,Uncharacterized protein
JCVISYN3A_0636,Uncharacterized lipoprotein
JCVISYN3A_0298,Uncharacterized L7Ae family protein
JCVISYN3A_0403,Ribosome GTPase
JCVISYN3A_0402,rRNA maturation RNase
JCVISYN3A_0060,Uncharacterized protein
JCVISYN3A_0654,30S ribosomal protein S5
JCVISYN3A_0437,Putative 3'-5' exoribonuclease
JCVISYN3A_0853,Uncharacterized protein
JCVISYN3A_0478,Uncharacterized protein
JCVISYN3A_0639,Uncharacterized efflux ABC transporter permease
JCVISYN3A_0907,Uncharacterized hydrolase
JCVISYN3A_0399,Uncharacterized efflux ABC transporter permease
JCVISYN3A_0873,Uncharacterized protein
JCVISYN3A_0609,Chromosome replication initiation protein
JCVISYN3A_0296,Uncharacterized protein
JCVISYN3A_0838,"23S rRNA
"
JCVISYN3A_0145,Uncharacterized acetyltransferase
JCVISYN3A_0657,30S ribosomal protein S8
JCVISYN3A_0839,Preprotein translocase subunit
JCVISYN3A_0539,Translation elongation factor Ts
JCVISYN3A_0527,Uncharacterized protein
JCVISYN3A_0235,Uncharacterized protein
JCVISYN3A_0826,DNA polymerase III subunit delta
JCVISYN3A_0545,ATP-dependent Clp protease subunit B
JCVISYN3A_0659,50S ribosomal protein L5
JCVISYN3A_0908,Membrane protein insertase
JCVISYN3A_0835,Uncharacterized lipoprotein
JCVISYN3A_0913,"Tetracycline resistance ribosomal protection
"
